epoch,train_loss,val_loss,delta1,delta2,delta3,rmse,abs_rel,sq_rel,silog
101,0.0206,0.2567,0.9518,0.9886,0.9980,0.8271,0.0802,0.1136,0.1169
102,0.0207,0.2573,0.9480,0.9880,0.9977,0.8225,0.0807,0.1153,0.1166
103,0.0205,0.2565,0.9579,0.9904,0.9983,0.8191,0.0790,0.1073,0.1163
104,0.0202,0.2583,0.9524,0.9887,0.9980,0.8329,0.0801,0.1142,0.1179
105,0.0200,0.2521,0.9548,0.9890,0.9979,0.8296,0.0791,0.1126,0.1181
106,0.0203,0.2601,0.9536,0.9890,0.9981,0.8331,0.0801,0.1129,0.1181
107,0.0202,0.2546,0.9525,0.9890,0.9981,0.8155,0.0792,0.1106,0.1155
108,0.0202,0.2524,0.9556,0.9898,0.9982,0.8202,0.0787,0.1096,0.1165
109,0.0199,0.2517,0.9487,0.9876,0.9977,0.8237,0.0804,0.1157,0.1156
110,0.0198,0.2446,0.9581,0.9903,0.9983,0.8040,0.0767,0.1045,0.1146
111,0.0195,0.2557,0.9552,0.9896,0.9982,0.8244,0.0797,0.1108,0.1164
112,0.0201,0.2527,0.9492,0.9881,0.9979,0.8246,0.0807,0.1154,0.1155
113,0.0199,0.2505,0.9520,0.9892,0.9980,0.8135,0.0790,0.1107,0.1156
114,0.0198,0.2518,0.9506,0.9887,0.9979,0.8165,0.0799,0.1122,0.1152
115,0.0193,0.2491,0.9498,0.9883,0.9979,0.8153,0.0796,0.1124,0.1148
116,0.0194,0.2545,0.9482,0.9879,0.9976,0.8250,0.0814,0.1165,0.1161
117,0.0195,0.2587,0.9483,0.9878,0.9977,0.8351,0.0818,0.1186,0.1175
118,0.0191,0.2479,0.9527,0.9891,0.9980,0.8120,0.0788,0.1103,0.1155
119,0.0190,0.2538,0.9477,0.9875,0.9976,0.8284,0.0809,0.1181,0.1174
120,0.0188,0.2575,0.9480,0.9882,0.9978,0.8308,0.0817,0.1167,0.1166
121,0.0189,0.2568,0.9466,0.9873,0.9977,0.8323,0.0814,0.1187,0.1162
122,0.0188,0.2600,0.9462,0.9873,0.9976,0.8445,0.0822,0.1213,0.1180
123,0.0193,0.2539,0.9495,0.9876,0.9979,0.8332,0.0812,0.1172,0.1167
124,0.0192,0.2513,0.9521,0.9885,0.9979,0.8215,0.0794,0.1131,0.1161
125,0.0188,0.2509,0.9422,0.9862,0.9972,0.8297,0.0820,0.1226,0.1159
126,0.0190,0.2513,0.9477,0.9876,0.9978,0.8261,0.0808,0.1167,0.1154
127,0.0186,0.2444,0.9573,0.9903,0.9984,0.8058,0.0773,0.1048,0.1148
128,0.0185,0.2474,0.9498,0.9879,0.9977,0.8154,0.0795,0.1139,0.1155
129,0.0186,0.2538,0.9511,0.9885,0.9979,0.8161,0.0795,0.1120,0.1159
130,0.0187,0.2560,0.9407,0.9859,0.9972,0.8341,0.0828,0.1235,0.1160
131,0.0182,0.2509,0.9448,0.9870,0.9977,0.8206,0.0815,0.1177,0.1139
132,0.0184,0.2468,0.9508,0.9885,0.9980,0.8096,0.0792,0.1110,0.1142
133,0.0184,0.2508,0.9466,0.9880,0.9978,0.8116,0.0805,0.1143,0.1142
134,0.0179,0.2471,0.9466,0.9868,0.9974,0.8220,0.0806,0.1180,0.1158
135,0.0183,0.2503,0.9478,0.9875,0.9976,0.8208,0.0802,0.1158,0.1159
136,0.0182,0.2490,0.9514,0.9888,0.9980,0.8190,0.0793,0.1120,0.1159
137,0.0180,0.2472,0.9473,0.9875,0.9977,0.8124,0.0800,0.1147,0.1146
138,0.0179,0.2503,0.9450,0.9864,0.9976,0.8269,0.0810,0.1191,0.1158
