epoch,train_loss,val_loss,delta1,delta2,delta3,rmse,abs_rel,sq_rel,silog
24,0.0413,0.1469,0.8294,0.9579,0.9884,0.6202,0.1820,0.1380,0.2189
25,0.0397,0.1484,0.7995,0.9515,0.9865,0.6308,0.1914,0.1493,nan
26,0.0396,0.1476,0.8256,0.9590,0.9892,0.6242,0.1819,0.1408,nan
27,0.0377,0.1372,0.8388,0.9627,0.9899,0.6318,0.1793,0.1410,nan
28,0.0377,0.1435,0.8235,0.9598,0.9883,0.6203,0.1815,0.1390,nan
29,0.0366,0.1513,0.8287,0.9600,0.9880,0.6216,0.1805,0.1406,0.2169
30,0.0363,0.1585,0.7873,0.9495,0.9852,0.6340,0.1963,0.1545,nan
31,0.0369,0.1472,0.8478,0.9634,0.9897,0.6184,0.1747,0.1351,nan
32,0.0359,0.1531,0.8077,0.9542,0.9867,0.6337,0.1887,0.1499,nan
33,0.0359,0.1499,0.8329,0.9592,0.9883,0.6224,0.1804,0.1399,nan
34,0.0339,0.1440,0.8519,0.9657,0.9901,0.6145,0.1726,0.1305,nan
35,0.0340,0.1505,0.8300,0.9597,0.9885,0.6225,0.1806,0.1403,nan
36,0.0333,0.1397,0.8281,0.9591,0.9884,0.6213,0.1807,0.1387,nan
37,0.0322,0.1534,0.8101,0.9582,0.9882,0.6246,0.1852,0.1439,nan
38,0.0326,0.1502,0.8038,0.9518,0.9858,0.6270,0.1909,0.1473,nan
39,0.0313,0.1492,0.7981,0.9532,0.9860,0.6298,0.1911,0.1506,nan
40,0.0320,0.1381,0.8524,0.9665,0.9905,0.6141,0.1723,0.1302,nan
41,0.0316,0.1416,0.8573,0.9664,0.9908,0.6132,0.1707,0.1284,nan
42,0.0306,0.1457,0.8350,0.9635,0.9892,0.6137,0.1764,0.1355,nan
43,0.0310,0.1431,0.8497,0.9660,0.9905,0.6128,0.1726,0.1297,nan
44,0.0302,0.1443,0.8553,0.9686,0.9912,0.6125,0.1708,0.1295,nan
45,0.0301,0.1509,0.8002,0.9527,0.9865,0.6226,0.1893,0.1464,nan
46,0.0293,0.1518,0.8010,0.9545,0.9866,0.6257,0.1892,0.1477,nan
47,0.0291,0.1464,0.8124,0.9572,0.9876,0.6196,0.1849,0.1423,nan
48,0.0284,0.1460,0.8246,0.9615,0.9887,0.6151,0.1796,0.1370,nan
49,0.0288,0.1425,0.8267,0.9595,0.9882,0.6190,0.1804,0.1381,nan
50,0.0277,0.1448,0.8298,0.9607,0.9886,0.6193,0.1800,0.1378,nan
51,0.0277,0.1427,0.8472,0.9647,0.9896,0.6107,0.1732,0.1307,nan
52,0.0279,0.1551,0.7888,0.9508,0.9864,0.6301,0.1937,0.1513,nan
53,0.0266,0.1417,0.8458,0.9655,0.9901,0.6154,0.1746,0.1327,nan
54,0.0265,0.1403,0.8584,0.9684,0.9903,0.6136,0.1701,0.1273,nan
55,0.0269,0.1378,0.8615,0.9688,0.9909,0.6121,0.1687,0.1264,nan
56,0.0267,0.1496,0.8054,0.9568,0.9874,0.6214,0.1860,0.1441,nan
57,0.0259,0.1411,0.8509,0.9671,0.9906,0.6152,0.1720,0.1319,nan
58,0.0255,0.1446,0.8245,0.9599,0.9883,0.6166,0.1806,0.1387,nan
59,0.0255,0.1416,0.8491,0.9668,0.9904,0.6163,0.1726,0.1316,nan
60,0.0250,0.1543,0.7768,0.9450,0.9856,0.6365,0.1987,0.1571,nan
61,0.0257,0.1409,0.8339,0.9612,0.9889,0.6157,0.1771,0.1363,nan
62,0.0249,0.1441,0.8311,0.9621,0.9896,0.6160,0.1769,0.1351,nan
63,0.0246,0.1440,0.8339,0.9616,0.9892,0.6154,0.1767,0.1349,nan
64,0.0246,0.1420,0.8359,0.9624,0.9893,0.6111,0.1758,0.1331,nan
65,0.0246,0.1458,0.8196,0.9599,0.9881,0.6171,0.1811,0.1402,nan
66,0.0241,0.1419,0.8313,0.9625,0.9895,0.6168,0.1776,0.1358,nan
67,0.0242,0.1372,0.8562,0.9690,0.9906,0.6116,0.1692,0.1267,nan
68,0.0240,0.1433,0.8072,0.9552,0.9878,0.6210,0.1860,0.1431,nan
69,0.0238,0.1396,0.8380,0.9639,0.9896,0.6157,0.1746,0.1334,nan
70,0.0232,0.1379,0.8425,0.9661,0.9902,0.6126,0.1730,0.1301,nan
71,0.0227,0.1397,0.8343,0.9633,0.9895,0.6151,0.1760,0.1340,nan
72,0.0231,0.1385,0.8336,0.9633,0.9892,0.6131,0.1754,0.1330,nan
73,0.0233,0.1487,0.8068,0.9557,0.9881,0.6243,0.1858,0.1441,nan
74,0.0231,0.1431,0.8285,0.9611,0.9887,0.6160,0.1783,0.1366,nan
75,0.0235,0.1462,0.8121,0.9562,0.9878,0.6181,0.1847,0.1413,nan
76,0.0230,0.1389,0.8594,0.9690,0.9912,0.6129,0.1684,0.1281,nan
77,0.0223,0.1436,0.8180,0.9589,0.9884,0.6182,0.1817,0.1387,nan
78,0.0226,0.1439,0.8301,0.9634,0.9893,0.6182,0.1775,0.1375,nan
79,0.0222,0.1401,0.8509,0.9668,0.9902,0.6142,0.1710,0.1301,nan
80,0.0217,0.1417,0.8276,0.9603,0.9889,0.6189,0.1786,0.1384,nan
81,0.0214,0.1403,0.8310,0.9607,0.9885,0.6159,0.1777,0.1356,nan
82,0.0214,0.1385,0.8442,0.9659,0.9901,0.6147,0.1724,0.1322,nan
83,0.0214,0.1502,0.8036,0.9561,0.9873,0.6325,0.1868,0.1505,nan
84,0.0215,0.1398,0.8378,0.9629,0.9897,0.6188,0.1748,0.1341,nan
85,0.0214,0.1363,0.8671,0.9696,0.9909,0.6134,0.1666,0.1260,nan
86,0.0208,0.1465,0.8177,0.9603,0.9884,0.6223,0.1811,0.1418,nan
87,0.0206,0.1422,0.8230,0.9606,0.9885,0.6209,0.1797,0.1398,nan
88,0.0207,0.1397,0.8344,0.9630,0.9893,0.6164,0.1752,0.1350,nan
89,0.0205,0.1421,0.8299,0.9618,0.9890,0.6165,0.1769,0.1359,nan
90,0.0201,0.1415,0.8252,0.9596,0.9883,0.6197,0.1796,0.1386,nan
91,0.0201,0.1413,0.8308,0.9601,0.9890,0.6198,0.1777,0.1366,nan
92,0.0203,0.1449,0.8218,0.9604,0.9890,0.6214,0.1796,0.1397,nan
93,0.0204,0.1515,0.7964,0.9541,0.9873,0.6293,0.1888,0.1497,nan
94,0.0200,0.1367,0.8679,0.9715,0.9911,0.6146,0.1654,0.1243,nan
95,0.0198,0.1395,0.8357,0.9629,0.9894,0.6172,0.1751,0.1344,nan
96,0.0200,0.1372,0.8540,0.9673,0.9903,0.6133,0.1692,0.1291,nan
97,0.0197,0.1456,0.8223,0.9588,0.9884,0.6185,0.1804,0.1392,nan
98,0.0192,0.1378,0.8548,0.9682,0.9907,0.6149,0.1691,0.1286,nan
99,0.0189,0.1374,0.8550,0.9680,0.9905,0.6130,0.1682,0.1264,nan
